Series Name,Series Code,Country Name,Country Code,1990 [YR1990],2000 [YR2000],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021]
Arable land (hectares),AG.LND.ARBL.HA,Latvia,LVA,..,970000,1178000,1208000,1209000,1229800,1288000,1290000,1295000,1319000,1334000,..
Arable land (hectares),AG.LND.ARBL.HA,Lebanon,LBN,183000,129000,132000,132000,132000,133000,137000,137170,137180,135300,135300,..
Arable land (hectares),AG.LND.ARBL.HA,Lesotho,LSO,317000,330000,281300,248100,272300,219000,352000,414000,429300,138000,596000,..
Arable land (hectares),AG.LND.ARBL.HA,Liberia,LBR,350000,400000,500000,500000,500000,500000,500000,500000,500000,500000,500000,..
Arable land (hectares),AG.LND.ARBL.HA,Libya,LBY,1805000,1815000,1720000,1720000,1720000,1720000,1720000,1720000,1720000,1720000,1720000,..
Arable land (hectares),AG.LND.ARBL.HA,Liechtenstein,LIE,4000,4000,2070,1940,1830,1480,1480,1480,1480,1480,1410,..
Arable land (hectares),AG.LND.ARBL.HA,Lithuania,LTU,..,2878000,2260500,2290500,2350200,2171900,2142800,2103700,2115000,2211900,2249400,..
Arable land (hectares),AG.LND.ARBL.HA,Luxembourg,LUX,..,62000,62560,62450,62610,62800,61860,62038,62114,61959,62130,..
Arable land (hectares),AG.LND.ARBL.HA,"Macao SAR, China",MAC,..,..,..,..,..,..,..,..,..,..,..,..
Arable land (hectares),AG.LND.ARBL.HA,Madagascar,MDG,2720000,2900000,3000000,3000000,3000000,3000000,3000000,3000000,3000000,3000000,3000000,..
Arable land (hectares),AG.LND.ARBL.HA,Malawi,MWI,2250000,2750000,3600000,3600000,3600000,3600000,3600000,3600000,3600000,3600000,3600000,..
Arable land (hectares),AG.LND.ARBL.HA,Malaysia,MYS,930600,868700,868400,802700,804000,825310,826000,826000,826000,826000,826000,..
Arable land (hectares),AG.LND.ARBL.HA,Maldives,MDV,3000,3000,3900,3900,3900,3900,3900,3900,3900,3900,3900,..
Arable land (hectares),AG.LND.ARBL.HA,Mali,MLI,2053000,4468000,6861000,6411000,6411000,6411000,6411000,6411000,6411000,6411000,6411000,..
Arable land (hectares),AG.LND.ARBL.HA,Malta,MLT,12000,8000,9000,8970,8970,8970,9070,9070,9070,9070,9070,..
Arable land (hectares),AG.LND.ARBL.HA,Marshall Islands,MHL,..,1000,2000,2000,2000,2000,2000,2000,2000,2000,2000,..
Arable land (hectares),AG.LND.ARBL.HA,Mauritania,MRT,400000,488000,400000,400000,400000,400000,400000,400000,400000,400000,400000,..
Arable land (hectares),AG.LND.ARBL.HA,Mauritius,MUS,98000,90000,76000,75000,75000,75000,75000,75000,75000,75000,75000,..
Arable land (hectares),AG.LND.ARBL.HA,Mexico,MEX,21709000,22905000,22552000,22491000,22161000,22048000,21749000,20257000,19900000,19400000,20071000,..
Arable land (hectares),AG.LND.ARBL.HA,"Micronesia, Fed. Sts.",FSM,..,2500,2000,2000,2000,2000,2000,2000,2000,2000,2000,..
Arable land (hectares),AG.LND.ARBL.HA,Moldova,MDA,..,1827000,1814000,1816000,1728000,1733000,1738000,1738000,1681700,1689900,1699800,..
Arable land (hectares),AG.LND.ARBL.HA,Monaco,MCO,..,..,..,..,..,..,..,..,..,..,..,..
Arable land (hectares),AG.LND.ARBL.HA,Mongolia,MNG,1370000,1174000,1319103.3,1286780,1312700,1328110,1323350,1322710,1327400,1328800,1340479.9,..
Arable land (hectares),AG.LND.ARBL.HA,Montenegro,MNE,..,..,172000,7800,8730,8700,9000,9200,9200,9000,9100,..
Arable land (hectares),AG.LND.ARBL.HA,Morocco,MAR,8707000,8767000,8047000,8128000,7601100,7497300,8221000,8418759.2,7852171.2,6898964,7649000,..
Arable land (hectares),AG.LND.ARBL.HA,Mozambique,MOZ,3450000,3900000,5650000,5650000,5650000,5650000,5650000,5650000,5650000,5650000,5650000,..
Arable land (hectares),AG.LND.ARBL.HA,Myanmar,MMR,9567000,9909000,10751000,10772000,10816000,10932999.9,10948000,11061600,11080300,10990400,11018000,..
Arable land (hectares),AG.LND.ARBL.HA,Namibia,NAM,660000,816000,800000,800000,800000,800000,800000,800000,800000,800000,800000,..
Arable land (hectares),AG.LND.ARBL.HA,Nauru,NRU,..,..,..,..,..,..,..,..,..,..,..,..
Arable land (hectares),AG.LND.ARBL.HA,Nepal,NPL,2320400,2354000,2118000,2114000,2113700,2113700,2113700,2113700,2113700,2113700,2113700,..
Arable land (hectares),AG.LND.ARBL.HA,Netherlands,NLD,879000,1022700,1011000,1038400,1045000,1042000,1028000,1037000,1021000,1011100,1004830,..
Arable land (hectares),AG.LND.ARBL.HA,New Caledonia,NCL,9000,7000,6004,6000,6000,5970,5970,5970,5970,5970,5970,..
Arable land (hectares),AG.LND.ARBL.HA,New Zealand,NZL,2645000,1500000,509000,547000,590000,478000,541000,491000,518500,546000,527000,..
Arable land (hectares),AG.LND.ARBL.HA,Nicaragua,NIC,1300000,1917000,1532000,1504000,1504000,1504000,1504000,1504000,1504000,1504000,1504000,..
Arable land (hectares),AG.LND.ARBL.HA,Niger,NER,11036000,13975000,15900000,16800000,16800000,16800000,17500000,17700000,17700000,17700000,17700000,..
Arable land (hectares),AG.LND.ARBL.HA,Nigeria,NGA,28174000,35000000,35000000,35000000,35000000,35000000,35000000,35000000,35000000,35000000,35000000,..
Arable land (hectares),AG.LND.ARBL.HA,North Macedonia,MKD,..,555000,414000,413000,412000,414000,416000,417000,418000,419000,416000,..
Arable land (hectares),AG.LND.ARBL.HA,Northern Mariana Islands,MNP,..,1000,250,250,250,250,250,250,80,80,80,..
Arable land (hectares),AG.LND.ARBL.HA,Norway,NOR,860000,879000,811900,807790.7,808180,807141,805122,801490,803210,802002,804497,..
Arable land (hectares),AG.LND.ARBL.HA,Oman,OMN,35000,31000,33700,37700,37500,52160,56110,69300,76660,77840,74660,..
Arable land (hectares),AG.LND.ARBL.HA,Pakistan,PAK,29750000,31040000,30240000,30470000,30440000,30400000,30990000,31210000,31160000,30530000,30930000,..
Arable land (hectares),AG.LND.ARBL.HA,Palau,PLW,..,300,300,300,300,300,300,300,300,300,300,..
Arable land (hectares),AG.LND.ARBL.HA,Panama,PAN,499000,548000,565000,565000,565000,565000,565000,565000,565000,565000,565000,..
Arable land (hectares),AG.LND.ARBL.HA,Papua New Guinea,PNG,192000,205000,300000,300000,300000,300000,300000,300000,300000,300000,300000,..
Arable land (hectares),AG.LND.ARBL.HA,Paraguay,PRY,2110000,3020000,4360000,4484000,4663000,4868000,4664000,4653000,4734000,4734000,4734000,..
Arable land (hectares),AG.LND.ARBL.HA,Peru,PER,4101009.1,4517300,4924160,4671913,4419666,4167433,3798172,3756825,3814351,3580226,3580226,..
Arable land (hectares),AG.LND.ARBL.HA,Philippines,PHL,5480000,5034000,5580000,5590000,5590000,5590000,5590000,5590000,5590000,5590000,5590000,..
Arable land (hectares),AG.LND.ARBL.HA,Poland,POL,14388000,13993000,10925000,10792000,10928000,10887000,10806000,10907000,11009000,11055000,10921000,..
Arable land (hectares),AG.LND.ARBL.HA,Portugal,PRT,2344000,1750270,1123820,1138510,1098130,1069960,982230,968051.9,933632.2,982608.4,951534.3,..
Arable land (hectares),AG.LND.ARBL.HA,Puerto Rico,PRI,65000,59700,55100,54200,53300,52400,51500,50600,50200,50200,50200,..
Arable land (hectares),AG.LND.ARBL.HA,Qatar,QAT,10000,13000,16460,17100,18500,18500,18300,19000,21000,21000,21000,..
Arable land (hectares),AG.LND.ARBL.HA,Romania,ROU,9450000,9381000,8798000,8746000,8778000,8778000,8582000,8543000,8686000,8966000,8915000,..
Arable land (hectares),AG.LND.ARBL.HA,Russian Federation,RUS,..,124374000,121649000,121649000,121649000,121649000,121649000,121649000,121649000,121649000,121649000,..
Arable land (hectares),AG.LND.ARBL.HA,Rwanda,RWA,880000,900000,1150730,1182500,1149500,1151700,1151700,1151700,1151700,1151700,1151700,..
Arable land (hectares),AG.LND.ARBL.HA,Samoa,WSM,19000,14000,20000,24000,28000,32460,25760,19060,12350,11290,11290,..
Arable land (hectares),AG.LND.ARBL.HA,San Marino,SMR,1000,1000,1000,1000,1000,1985,1985,1985,1985,1985,1985,..
Arable land (hectares),AG.LND.ARBL.HA,Sao Tome and Principe,STP,2000,6000,4000,4000,4000,4000,4000,4000,4000,4000,4000,..
